No	TMNo	EnNo	Name	INOUT	Mode	DateTime
489	1	21		0	6	2018/01/05 14:53:08
490	1	16		0	6	2018/01/05 14:53:12
491	1	20		0	6	2018/01/05 14:53:15
492	1	17		0	6	2018/01/05 14:53:31
493	1	17		0	6	2018/01/05 14:53:31
494	1	18		0	6	2018/01/05 14:53:36
495	1	2		0	6	2018/01/05 18:00:09
496	1	12		0	6	2018/01/05 18:00:23
497	1	14		0	6	2018/01/05 18:00:39
498	1	6		0	6	2018/01/05 18:13:47
499	1	6		0	6	2018/01/05 18:13:47
500	1	6		0	6	2018/01/05 18:13:53
501	1	6		0	0	2018/01/05 18:14:09
502	1	1		0	6	2018/01/05 18:14:33
503	1	11		0	6	2018/01/05 18:17:49
504	1	3		0	6	2018/01/05 18:17:55
505	1	7		0	6	2018/01/05 19:00:03
506	1	7		0	6	2018/01/05 19:00:03
507	1	13		0	6	2018/01/05 19:00:50
508	1	13		0	6	2018/01/05 19:00:50
509	1	11		0	5	2018/01/05 21:21:54
510	1	11		0	6	2018/01/06 07:42:37
511	1	4		0	5	2018/01/08 08:46:57
512	1	6		0	5	2018/01/08 08:47:01
513	1	24		0	5	2018/01/08 08:47:09
514	1	26		0	5	2018/01/08 08:47:12
515	1	23		0	5	2018/01/08 08:47:27
516	1	11		0	5	2018/01/08 08:48:37
517	1	7		0	5	2018/01/08 08:48:48
518	1	7		0	5	2018/01/08 08:48:48
519	1	5		0	5	2018/01/08 08:52:28
520	1	13		0	5	2018/01/08 08:57:43
521	1	13		0	5	2018/01/08 08:57:43
522	1	25		0	5	2018/01/08 08:58:55
523	1	9		0	5	2018/01/08 08:59:55
524	1	1		0	5	2018/01/08 08:59:59
525	1	1		0	5	2018/01/08 08:59:59
526	1	12		0	5	2018/01/08 09:00:59
527	1	21		0	5	2018/01/08 09:02:37
528	1	8		0	5	2018/01/08 09:05:11
529	1	22		0	5	2018/01/08 09:09:04
530	1	14		0	5	2018/01/08 09:09:37
531	1	18		0	5	2018/01/08 09:18:42
532	1	17		0	5	2018/01/08 09:18:47
533	1	16		0	5	2018/01/08 09:22:47
534	1	20		0	5	2018/01/08 09:25:12
535	1	2		0	5	2018/01/08 09:26:39
536	1	3		0	5	2018/01/08 09:29:03
537	1	15		0	5	2018/01/08 10:54:50
538	1	1		0	5	2018/01/08 12:00:30
539	1	1		0	6	2018/01/08 12:00:40
540	1	1		0	6	2018/01/08 12:00:40
541	1	5		0	6	2018/01/08 12:00:57
542	1	12		0	6	2018/01/08 12:01:04
543	1	20		0	6	2018/01/08 12:01:06
544	1	22		0	6	2018/01/08 12:01:10
545	1	3		0	6	2018/01/08 12:01:18
546	1	18		0	6	2018/01/08 12:01:22
547	1	26		0	6	2018/01/08 12:01:29
548	1	23		0	6	2018/01/08 12:01:38
549	1	24		0	6	2018/01/08 12:01:44
550	1	13		0	6	2018/01/08 12:01:51
551	1	21		0	6	2018/01/08 12:01:54
552	1	17		0	6	2018/01/08 12:02:21
553	1	16		0	6	2018/01/08 12:02:31
554	1	25		0	6	2018/01/08 12:03:36
555	1	25		0	6	2018/01/08 12:03:36
556	1	9		0	6	2018/01/08 12:14:06
557	1	4		0	6	2018/01/08 12:36:44
558	1	4		0	5	2018/01/08 12:36:54
559	1	20		0	5	2018/01/08 12:37:35
560	1	12		0	5	2018/01/08 12:37:45
561	1	16		0	5	2018/01/08 12:38:10
562	1	18		0	5	2018/01/08 12:38:17
563	1	22		0	5	2018/01/08 12:38:30
564	1	21		0	5	2018/01/08 12:39:12
565	1	24		0	5	2018/01/08 12:39:57
566	1	26		0	5	2018/01/08 12:40:05
567	1	23		0	5	2018/01/08 12:40:11
568	1	25		0	5	2018/01/08 12:40:35
569	1	5		0	5	2018/01/08 12:59:37
570	1	9		0	5	2018/01/08 12:59:39
571	1	1		0	5	2018/01/08 12:59:46
572	1	1		0	5	2018/01/08 12:59:46
573	1	3		0	5	2018/01/08 12:59:51
574	1	3		0	5	2018/01/08 12:59:51
575	1	13		0	5	2018/01/08 12:59:55
576	1	13		0	5	2018/01/08 12:59:55
577	1	7		0	6	2018/01/08 13:00:11
578	1	7		0	6	2018/01/08 13:00:11
579	1	7		0	5	2018/01/08 13:00:17
580	1	7		0	5	2018/01/08 13:00:17
581	1	17		0	5	2018/01/08 13:15:11
582	1	17		0	5	2018/01/08 13:15:11
583	1	20		0	6	2018/01/08 17:32:58
584	1	22		0	6	2018/01/08 17:35:30
585	1	19		0	5	2018/01/08 17:48:31
586	1	19		0	5	2018/01/08 17:48:31
587	1	26		0	6	2018/01/08 18:00:03
588	1	23		0	6	2018/01/08 18:00:06
589	1	25		0	6	2018/01/08 18:00:09
590	1	24		0	6	2018/01/08 18:00:12
591	1	21		0	6	2018/01/08 18:00:18
592	1	18		0	6	2018/01/08 18:00:58
593	1	16		0	6	2018/01/08 18:01:05
594	1	19		0	6	2018/01/08 18:01:18
595	1	17		0	6	2018/01/08 18:01:25
596	1	14		0	6	2018/01/08 18:01:42
597	1	12		0	6	2018/01/08 18:01:58
598	1	9		0	6	2018/01/08 18:02:14
